,0,1
283,943.0,1212.1995
284,944.0,1212.1995
285,945.0,1211.2044
286,946.0,1210.1909
287,947.0,1208.2006
288,948.0,1207.2055
289,949.0,1205.1969
290,950.0,1204.2017
291,951.0,1202.1931
292,952.0,1200.2029
293,953.0,1199.1893
294,954.0,1197.1991
295,955.0,1195.1904
296,956.0,1194.1953
297,957.0,1192.2051
298,958.0,1190.1964
299,959.0,1187.1926
300,960.0,1186.1975
301,961.0,1183.1937
302,962.0,1182.1986
303,963.0,1180.19
304,964.0,1178.1997
305,965.0,1175.1959
306,966.0,1173.1873
307,967.0,1170.2019
308,968.0,1167.1982
309,969.0,1164.1944
310,970.0,1162.1857
311,971.0,1159.2004
312,972.0,1156.1966
313,973.0,1153.1928
314,974.0,1150.189
315,975.0,1147.1852
316,976.0,1144.1815
317,977.0,1140.1826
318,978.0,1136.1837
319,979.0,1131.1897
320,980.0,1128.1859
321,981.0,1124.9425
322,982.0,1120.9805
323,983.0,1116.2998
324,984.0,1110.9003
325,985.0,1104.7638
326,986.0,1098.4614
327,987.0,1092.3248
328,988.0,1086.391
329,989.0,1080.623
330,990.0,1075.0577
331,991.0,1069.6583
332,992.0,1064.4616
333,993.0,1059.4307
334,994.0,1054.621
335,995.0,1050.1245
336,996.0,1045.9782
337,997.0,1042.1636
338,998.0,1038.7175
339,999.0,1035.5848
340,1000.0,1032.8021
341,1001.0,1030.3696
342,1002.0,1028.2688
343,1003.0,1026.5181
344,1004.0,1024.5832
345,1005.0,1022.1691
346,1006.0,1019.239
347,1007.0,1015.793
348,1008.0,1011.8678
349,1009.0,1007.4266
350,1010.0,1002.4879
351,1011.0,997.0516
352,1012.0,991.0994
353,1013.0,984.6495
354,1014.0,977.7206
355,1015.0,970.7547
356,1016.0,964.0101
357,1017.0,957.4497
358,1018.0,951.092
359,1019.0,944.9554
360,1020.0,939.0032
361,1021.0,933.2536
362,1022.0,927.7067
363,1023.0,922.3442
364,1024.0,917.2027
365,1025.0,911.9323
366,1026.0,906.2564
367,1027.0,900.1936
368,1028.0,893.7438
369,1029.0,886.8885
370,1030.0,879.6279
371,1031.0,871.9802
372,1032.0,863.9271
373,1033.0,855.5423
374,1034.0,847.5077
375,1035.0,840.0443
376,1036.0,833.1338
377,1037.0,826.7945
378,1038.0,821.0265
379,1039.0,815.8298
380,1040.0,811.2044
381,1041.0,807.1502
382,1042.0,803.4277
383,1043.0,799.134
384,1044.0,794.1952
385,1045.0,788.6115
386,1046.0,782.3644
387,1047.0,775.4539
388,1048.0,767.8984
389,1049.0,759.6979
390,1050.0,750.834
391,1051.0,741.3251
392,1052.0,732.0742
393,1053.0,723.5051
394,1054.0,715.6547
395,1055.0,708.5046
396,1056.0,702.0364
397,1057.0,696.2868
398,1058.0,691.2191
399,1059.0,686.8701
400,1060.0,683.0739
401,1061.0,678.8354
402,1062.0,673.9704
403,1063.0,668.4973
404,1064.0,662.3976
405,1065.0,655.6529
406,1066.0,648.3001
407,1067.0,640.3207
408,1068.0,631.7148
409,1069.0,622.4823
410,1070.0,612.6602
411,1071.0,603.0039
412,1072.0,593.7161
413,1073.0,584.8153
414,1074.0,576.32
415,1075.0,568.1932
416,1076.0,560.4534
417,1077.0,553.119
418,1078.0,546.1716
419,1079.0,539.5928
420,1080.0,533.4194
421,1081.0,527.633
422,1082.0,522.1598
423,1083.0,516.7973
424,1084.0,511.5637
425,1085.0,506.4222
426,1086.0,501.3914
427,1087.0,496.4711
428,1088.0,491.6614
429,1089.0,486.9438
430,1090.0,482.3552
431,1091.0,477.8587
432,1092.0,473.4544
433,1093.0,469.1238
434,1094.0,464.7563
435,1095.0,460.352
436,1096.0,455.8924
437,1097.0,451.4144
438,1098.0,446.8627
439,1099.0,442.2925
440,1100.0,437.6671
441,1101.0,433.0048
442,1102.0,428.3056
443,1103.0,423.5511
444,1104.0,418.7598
445,1105.0,413.9501
446,1106.0,409.1772
447,1107.0,404.4965
448,1108.0,399.8895
449,1109.0,395.3377
450,1110.0,390.8781
451,1111.0,386.4923
452,1112.0,382.1801
453,1113.0,377.9416
454,1114.0,373.7953
455,1115.0,369.7043
456,1116.0,365.687
457,1117.0,361.7249
458,1118.0,357.7444
459,1119.0,353.7456
460,1120.0,349.7467
461,1121.0,345.7109
462,1122.0,341.6936
463,1123.0,337.6394
464,1124.0,333.5852
