,Wavelength (nm),Absorption (/cm)
310,610,0.002691
311,611,0.0027029999999999997
312,612,0.002715
313,613,0.0027275
314,614,0.00274
315,615,0.002752
316,616,0.002764
317,617,0.0027745
318,618,0.002785
319,619,0.0027975
320,620,0.00281
321,621,0.0028244999999999998
322,622,0.002839
323,623,0.0028535
324,624,0.002868
325,625,0.0028805000000000002
326,626,0.002893
327,627,0.0029075000000000004
328,628,0.002922
329,629,0.0029385
330,630,0.002955
331,631,0.0029715
332,632,0.002988
333,633,0.0029995
334,634,0.003011
335,635,0.0030245
336,636,0.003038
337,637,0.003057
338,638,0.003076
339,639,0.0030935
340,640,0.003111
341,641,0.0031275
342,642,0.003144
343,643,0.0031625
344,644,0.003181
345,645,0.003202
346,646,0.003223
347,647,0.0032430000000000002
348,648,0.003263
349,649,0.003289
350,650,0.003315
351,651,0.0033385
352,652,0.003362
353,653,0.0033924999999999997
354,654,0.003423
355,655,0.0034655
356,656,0.003508
357,657,0.0035719999999999997
358,658,0.003636
359,659,0.0037135
360,660,0.003791
361,661,0.003861
362,662,0.003931
363,663,0.003974999999999999
364,664,0.004019
365,665,0.0040455000000000005
366,666,0.004072
367,667,0.004085
368,668,0.004098
369,669,0.00411
370,670,0.004122
371,671,0.004136
372,672,0.00415
373,673,0.0041615
374,674,0.004173
375,675,0.004198
376,676,0.004223
377,677,0.0042465
378,678,0.00427
379,679,0.004294
380,680,0.004318
381,681,0.0043495
382,682,0.004381
383,683,0.0044195
384,684,0.004458
385,685,0.0045015
386,686,0.004545
387,687,0.004595500000000001
388,688,0.004646
389,689,0.004703000000000001
390,690,0.00483
391,691,0.004949083333333333
392,692,0.005068166666666667
393,693,0.0051935
394,694,0.005318833333333333
395,695,0.005445416666666667
396,696,0.0055720000000000006
397,697,0.0057118333333333335
398,698,0.0058516666666666665
399,699,0.005998
400,700,0.006144333333333333
401,701,0.006295916666666667
402,702,0.0064475
403,703,0.006645333333333333
404,704,0.006843166666666666
405,705,0.007045249999999999
406,706,0.007247333333333333
407,707,0.007459416666666667
408,708,0.0076714999999999995
409,709,0.007897833333333333
410,710,0.008124166666666667
411,711,0.0083645
412,712,0.008604833333333332
413,713,0.008863666666666666
414,714,0.009122499999999999
415,715,0.009452136363636364
416,716,0.009781772727272727
417,717,0.010135909090909091
418,718,0.010490045454545453
419,719,0.010866931818181817
420,720,0.011243818181818181
421,721,0.011646204545454546
422,722,0.012048590909090908
423,723,0.012463477272727274
424,724,0.012878363636363636
425,725,0.01330075
426,726,0.014079500000000002
427,727,0.014887250000000001
428,728,0.015695
429,729,0.01655025
430,730,0.0174055
431,731,0.018340750000000003
432,732,0.019276
433,733,0.020307250000000002
434,734,0.021338500000000003
435,735,0.02239775
436,736,0.023105181818181816
437,737,0.023740363636363636
438,738,0.024375545454545455
439,739,0.024887977272727273
440,740,0.02540040909090909
441,741,0.025796590909090908
442,742,0.026192772727272728
443,743,0.026483954545454547
444,744,0.026775136363636362
445,745,0.02701781818181818
446,746,0.0272605
447,747,0.02735925
448,748,0.027458
449,749,0.0275375
450,750,0.027617000000000003
451,751,0.027686750000000003
452,752,0.0277565
453,753,0.02769775
454,754,0.027638999999999997
455,755,0.02758
456,756,0.027521
457,757,0.0274675
458,758,0.027414
459,759,0.027339045454545453
460,760,0.027264090909090908
461,761,0.027174386363636362
462,762,0.02708468181818182
463,763,0.02699147727272727
464,764,0.02689827272727273
465,765,0.02679256818181818
466,766,0.026686863636363637
467,767,0.02656865909090909
468,768,0.026450454545454548
469,769,0.026338
470,770,0.0262335
471,771,0.026131
472,772,0.0260285
473,773,0.025896750000000003
474,774,0.025765
475,775,0.025625500000000002
476,776,0.025486
477,777,0.02534825
478,778,0.0252105
479,779,0.0250465
480,780,0.024882500000000002
481,781,0.0247305
482,782,0.024589076923076922
483,783,0.024444653846153845
484,784,0.02430023076923077
485,785,0.02413330769230769
486,786,0.023966384615384615
487,787,0.02379771153846154
488,788,0.023629038461538462
489,789,0.023449365384615384
490,790,0.02326969230769231
491,791,0.023082019230769232
492,792,0.022894346153846154
493,793,0.022717923076923077
494,794,0.0225415
495,795,0.02239375
496,796,0.022246000000000002
497,797,0.022081
498,798,0.021915999999999998
499,799,0.021753500000000002
500,800,0.021591
501,801,0.020125
502,802,0.02
503,803,0.019875
504,804,0.01975
505,805,0.019625
506,806,0.0195
507,807,0.019442857142857144
508,808,0.019385714285714284
509,809,0.019328571428571428
510,810,0.01927142857142857
511,811,0.019214285714285715
512,812,0.019157142857142855
513,813,0.0191
514,814,0.019214285714285715
515,815,0.019328571428571428
516,816,0.019442857142857144
517,817,0.019557142857142856
518,818,0.019671428571428572
519,819,0.019785714285714285
520,820,0.0199
521,821,0.02073846153846154
522,822,0.021576923076923077
523,823,0.022415384615384615
524,824,0.023253846153846156
525,825,0.024092307692307694
