,nm,mu_a(/m)
398,827,0.796
399,828,0.799
400,829,0.802
401,830,0.803
402,831,0.803
403,832,0.801
404,833,0.794
405,834,0.785
406,835,0.775
407,836,0.764
408,837,0.757
409,838,0.751
410,839,0.739
411,840,0.726
412,841,0.715
413,842,0.703
414,843,0.692
415,844,0.685
416,845,0.678
417,846,0.669
418,847,0.661
419,848,0.651
420,849,0.643
421,850,0.637
422,851,0.633
423,852,0.632
424,853,0.631
425,854,0.633
426,855,0.639
427,856,0.647
428,857,0.656
429,858,0.662
430,859,0.666
431,860,0.674
432,861,0.68
433,862,0.69
434,863,0.705
435,864,0.724
436,865,0.751
437,866,0.786
438,867,0.822
439,868,0.86
440,869,0.899
441,870,0.938
442,871,0.979
443,872,1.022
444,873,1.074
445,874,1.133
446,875,1.198
447,876,1.264
448,877,1.345
449,878,1.43
450,879,1.527
451,880,1.636
452,881,1.752
453,882,1.867
454,883,1.992
455,884,2.121
456,885,2.262
457,886,2.414
458,887,2.581
459,888,2.754
460,889,2.932
461,890,3.116
462,891,3.305
463,892,3.491
464,893,3.674
465,894,3.833
466,895,3.983
467,896,4.121
468,897,4.256
469,898,4.384
470,899,4.506
471,900,4.633
472,901,4.766
473,902,4.915
474,903,5.078
475,904,5.267
476,905,5.472
477,906,5.721
478,907,5.994
479,908,6.316
480,909,6.663
481,910,7.046
482,911,7.438
483,912,7.837
484,913,8.234
485,914,8.621
486,915,8.994
487,916,9.354
488,917,9.683
489,918,10.0
490,919,10.32
491,920,10.65
492,921,10.99
493,922,11.33
494,923,11.67
495,924,12.0
496,925,12.31
497,926,12.6
498,927,12.82
499,928,12.99
500,929,13.07
501,930,13.1
502,931,12.99
503,932,12.83
504,933,12.53
505,934,12.18
506,935,11.75
507,936,11.26
508,937,10.7
509,938,10.08
510,939,9.433
511,940,8.754
512,941,8.088
513,942,7.446
514,943,6.822
515,944,6.25
516,945,5.704
517,946,5.234
518,947,4.802
519,948,4.445
520,949,4.109
521,950,3.799
522,951,3.519
523,952,3.274
524,953,3.046
525,954,2.852
526,955,2.666
527,956,2.504
528,957,2.358
529,958,2.242
530,959,2.133
531,960,2.047
532,961,1.975
533,962,1.917
534,963,1.86
535,964,1.808
536,965,1.753
537,966,1.693
538,967,1.639
539,968,1.589
540,969,1.554
541,970,1.528
542,971,1.51
543,972,1.491
544,973,1.463
545,974,1.431
546,975,1.413
547,976,1.408
548,977,1.414
549,978,1.421
550,979,1.423
551,980,1.417
552,981,1.407
553,982,1.406
554,983,1.42
555,984,1.441
556,985,1.481
557,986,1.524
558,987,1.564
559,988,1.607
560,989,1.652
561,990,1.716
562,991,1.793
563,992,1.891
564,993,1.994
565,994,2.087
566,995,2.178
567,996,2.272
568,997,2.366
569,998,2.464
570,999,2.56
571,1000,2.654
572,1001,2.751
573,1002,2.87
574,1003,2.996
575,1004,3.136
576,1005,3.282
577,1006,3.43
578,1007,3.579
579,1008,3.735
580,1009,3.894
581,1010,4.057
582,1011,4.222
583,1012,4.388
584,1013,4.554
585,1014,4.722
586,1015,4.877
587,1016,5.024
588,1017,5.152
589,1018,5.279
590,1019,5.386
591,1020,5.481
592,1021,5.561
593,1022,5.631
594,1023,5.683
595,1024,5.734
596,1025,5.79
597,1026,5.857
598,1027,5.948
599,1028,6.05
600,1029,6.164
601,1030,6.274
602,1031,6.389
603,1032,6.503
604,1033,6.61
605,1034,6.717
606,1035,6.799
607,1036,6.871
608,1037,6.926
609,1038,6.97
610,1039,7.004
611,1040,7.029
612,1041,7.018
613,1042,6.998
614,1043,6.967
615,1044,6.904
616,1045,6.85
617,1046,6.792
618,1047,6.719
619,1048,6.662
620,1049,6.596
621,1050,6.504
622,1051,6.419
623,1052,6.348
624,1053,6.281
625,1054,6.212
626,1055,6.139
627,1056,6.045
628,1057,5.948
629,1058,5.867
630,1059,5.789
631,1060,5.705
632,1061,5.616
633,1062,5.534
634,1063,5.445
635,1064,5.364
636,1065,5.303
637,1066,5.259
638,1067,5.224
639,1068,5.18
640,1069,5.121
641,1070,5.065
642,1071,5.032
643,1072,5.025
644,1073,5.015
645,1074,5.005
646,1075,4.947
647,1076,4.878
648,1077,4.851
649,1078,4.841
650,1079,4.816
651,1080,4.811
652,1081,4.813
653,1082,4.798
654,1083,4.816
655,1084,4.804
656,1085,4.763
657,1086,4.755
658,1087,4.762
659,1088,4.771
660,1089,4.797
661,1090,4.801
662,1091,4.78
663,1092,4.783
664,1093,4.783
665,1094,4.79
666,1095,4.837
667,1096,4.876
668,1097,4.892
669,1098,4.911
