,Wavelength (nm),Absorption (/cm)
0,520,0.2841158290464337
1,521,0.2803827035205337
2,522,0.27674384295768195
3,523,0.2731954457644928
4,524,0.26973385685364865
5,525,0.26635556080008566
6,526,0.2630571753729337
7,527,0.25983544542223846
8,528,0.25668723710078994
9,529,0.25360953240260176
10,530,0.2505994240007096
11,531,0.24765411036801727
12,532,0.24477089116589973
13,533,0.24194716288619098
14,534,0.23918041473304094
15,535,0.23646822473192147
16,536,0.23380825605380978
17,537,0.23119825354326834
18,538,0.22863604043979102
19,539,0.22611951528238786
20,540,0.22364664898794503
21,541,0.2212154820944215
22,542,0.21882412216043381
23,543,0.2164707413132378
24,544,0.21415357393754045
25,545,0.21187091449797177
26,546,0.2096211154884171
27,547,0.20740258550175233
28,548,0.2052137874138453
29,549,0.20305323667598613
30,550,0.20091949971018205
31,551,0.19881119240201556
32,552,0.19672697868599887
33,553,0.19466556921858363
34,554,0.1926257201341902
35,555,0.1906062318798113
36,556,0.18860594812392653
37,557,0.1866237547356245
38,558,0.18465857882998715
39,559,0.18270938787592955
40,560,0.1807751888628228
41,561,0.17885510743887992
42,562,0.1769486201185146
43,563,0.17505530208034722
44,564,0.17317474521977166
45,565,0.17130655785020585
46,566,0.16945036441368413
47,567,0.16760580520017568
48,568,0.16577253607503495
49,569,0.16395022821400515
50,570,0.16213856784521485
51,571,0.1603372559976242
52,572,0.15854600825539275
53,573,0.15676455451765858
54,574,0.1549926387632324
55,575,0.1532300188197269
56,576,0.15147646613665688
57,577,0.14973176556205978
58,578,0.14799571512220178
59,579,0.14626812580394918
60,580,0.1445488213393992
61,581,0.14283809328836142
62,582,0.14113802332240183
63,583,0.13945104209037112
64,584,0.137779464987834
65,585,0.13612549455503012
66,586,0.13449122324041834
67,587,0.13287863649726744
68,588,0.13128961618212595
69,589,0.1297259442255015
70,590,0.12818930654669963
71,591,0.12668129718647825
72,592,0.12520342263296394
73,593,0.12375710631813001
74,594,0.12234369326403446
75,595,0.12096445485995878
76,596,0.11962059375354886
77,597,0.11831324884104785
78,598,0.11704350034369965
79,599,0.11581237495940229
80,600,0.11462085108068958
81,601,0.11346921773913861
82,602,0.11235519160113357
83,603,0.11127594408302566
84,604,0.11022875361446104
85,605,0.10921099889120751
86,606,0.1082201527555243
87,607,0.10725377666587987
88,608,0.10630951572104716
89,609,0.10538509420647492
90,610,0.10447831163337239
91,611,0.10358703924318363
92,612,0.10270921695208694
93,613,0.10184285071185528
94,614,0.10098601026487466
95,615,0.10013682727235723
96,616,0.09929349379582145
97,617,0.0984542611127519
98,618,0.09761743884802097
99,619,0.09678139440315532
100,620,0.09594455266588406
101,621,0.09510578539882265
102,622,0.09426555213891054
103,623,0.09342468383124093
104,624,0.09258398642983791
105,625,0.09174424084504604
106,626,0.09090620295720983
107,627,0.09007060369339359
108,628,0.089238149163897
109,629,0.08840952085533947
110,630,0.08758537587711734
111,631,0.08676634725808109
112,632,0.08595304429033396
113,633,0.08514605291711665
114,634,0.08434593616181828
115,635,0.08355323459523159
116,636,0.08276846683826382
117,637,0.08199213009740779
118,638,0.0812247007303803
119,639,0.08046663483944223
120,640,0.07971836889002606
121,641,0.07898030964583366
122,642,0.07825280350061187
123,643,0.07753617061995684
124,644,0.07683071645618735
125,645,0.07613673236517537
126,646,0.07545449623196782
127,647,0.07478427310406496
128,648,0.07412631583131826
129,649,0.07348086571150493
130,650,0.07284815314073434
131,651,0.07222839826793408
132,652,0.07162181165276113
133,653,0.07102859492637502
134,654,0.07044894145460519
135,655,0.06988303700313551
136,656,0.06933106040442293
137,657,0.06879318422615639
138,658,0.06826957544115403
139,659,0.06776039609868575
