,0,1
282,942.0,665.1448
283,943.0,657.4549
284,944.0,649.6715
285,945.0,641.7571
286,946.0,633.6556
287,947.0,625.3858
288,948.0,616.9288
289,949.0,608.2847
290,950.0,599.4722
291,951.0,590.4914
292,952.0,581.3047
293,953.0,571.9497
294,954.0,562.632
295,955.0,553.5202
296,956.0,544.6329
297,957.0,535.9514
298,958.0,527.4757
299,959.0,519.2245
300,960.0,511.1792
301,961.0,503.3396
302,962.0,495.5188
303,963.0,487.3425
304,964.0,478.792
305,965.0,469.8672
306,966.0,460.5683
307,967.0,450.9139
308,968.0,440.8853
309,969.0,430.7257
310,970.0,421.0338
311,971.0,411.8472
312,972.0,403.1844
313,973.0,395.0455
314,974.0,387.4117
315,975.0,380.2832
316,976.0,373.5475
317,977.0,366.7558
318,978.0,359.8517
319,979.0,352.8354
320,980.0,345.7256
321,981.0,338.4848
322,982.0,331.1317
323,983.0,323.6664
324,984.0,316.2946
325,985.0,309.2222
326,986.0,302.4678
327,987.0,296.0315
328,988.0,289.9133
329,989.0,284.0945
330,990.0,278.5937
331,991.0,273.0929
332,992.0,267.0495
333,993.0,260.4449
334,994.0,253.2976
335,995.0,245.5703
336,996.0,237.3005
337,997.0,228.9744
338,998.0,221.5278
339,999.0,214.9793
340,1000.0,209.3288
341,1001.0,204.5952
342,1002.0,200.5164
343,1003.0,196.8305
344,1004.0,193.5001
345,1005.0,190.5252
346,1006.0,187.9244
347,1007.0,185.6792
348,1008.0,183.8082
349,1009.0,182.2927
350,1010.0,180.9082
351,1011.0,179.5423
352,1012.0,178.2139
353,1013.0,176.9416
354,1014.0,175.688
355,1015.0,174.4532
356,1016.0,173.2744
357,1017.0,172.1331
358,1018.0,171.0105
359,1019.0,169.9253
360,1020.0,168.8588
361,1021.0,167.7736
362,1022.0,166.6697
363,1023.0,165.5659
364,1024.0,164.4245
365,1025.0,163.2645
366,1026.0,162.1045
367,1027.0,160.907
368,1028.0,159.7096
369,1029.0,158.4934
370,1030.0,157.2586
371,1031.0,155.9863
372,1032.0,154.714
373,1033.0,153.423
374,1034.0,152.1133
375,1035.0,150.8036
376,1036.0,149.4564
377,1037.0,148.0906
